Pirate Rob's Swashbuckling Rogues,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karma Down Under,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pull,Christopher Keates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Stephen Close,Pass,Hope Celani,Pass,Patrick Kenzie,Pass,Wynne Gee,Pass,Mark Donahue,Pass,Stephen Close,Pass,Wynne Gee,Pass,Patrick Kenzie,,,,,,,,,,,,,,,,
,O+,Alec Clark,D-,Brent Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Mark Donahue,D-,Chris Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Patrick Kenzie,D-,Christopher Keates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Stephen Close,D-,Krys Kudakiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Hope Celani,D-,Lissa Greenspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Wynne Gee,D-,Megan Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Drop,Christopher Keates,Pass,Lissa Greenspoon,Pass,Graham Brown,Pass,Melissa Jess,Pass,Christopher Keates,Pass,Rob Ives,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Kris Bergmann,Pass,Dan Thomson,Pass,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Christopher Keates,D+,Dan Thomson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Graham Brown,D+,Kris Bergmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Greg Cormier,D+,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Rob Ives,D+,Trevor Stocki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Lissa Greenspoon,D+,Alison Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Melissa Jess,D+,Andrea Proulx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Throw Away,Megan Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Wynne Gee,Pass,Patrick Kenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,POINT,Melissa Jess,Pass,Brent Burton,Pass,Rob Ives,Pass,Brent Burton,Pass,Megan Berry,Pass,Krys Kudakiewicz,Pass,Megan Berry,Pass,Chris Sullivan,Pass,Rob Ives,Pass,Chris Sullivan,,,,,,,,,,,,
,O+,Brent Burton,D-,Alec Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Chris Sullivan,D-,Mark Donahue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Krys Kudakiewicz,D-,Patrick Kenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Rob Ives,D-,Stephen Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Megan Berry,D-,Hope Celani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Melissa Jess,D-,Wynne Gee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Mehmet Karman,Pass,Dan Thomson,Pass,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,POINT,Krys Kudakiewicz,Pass,Megan Berry,Pass,Christopher Keates,Pass,Megan Berry,Pass,Lissa Greenspoon,Pass,Megan Berry,Pass,Krys Kudakiewicz,,,,,,,,,,,,,,,,,,
,O-,Dan Thomson,D+,Christopher Keates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Kris Bergmann,D+,Graham Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Mehmet Karman,D+,Greg Cormier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Trevor Stocki,D+,Krys Kudakiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
